,,,"Rift valley province-Ditriscts: Nakuru, Baringo, Turkana, Nyamira, Machakos, Marakwet. Towns: Rangwe, Karachuonyo, Kobuya, Nasigir, Naivasha, Eldoret, Laikipia. Budalangi-Busia District, Nairobi area.- Central- Thika, Murang'a, Nyeri, Kirinyaga","valley-Chemoron, Endao, Miriu, Athi Budalangi-Nzoia, Central-Thirikwa, Ndarugu, Thiriku, Mt. Kenya- Ruamuthambi, Nairobi area- Kirichwa, Ruaraka other rivers: Athi",,,,,,,,,,,,
,,,"Mt. Kenya region-Meru, Othaya, Kirinyaga- Western Kenya,-Ukambani- Coast province-Districts: Tana River, Taita Taveta, Homa Bay - Uganda-Mbale area",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"Nairobi province, Tana river District",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
09-04-04,11-05-04,Flood,,,50,15000,268300,Uganda,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,Flood,,,,10000,,,,,,,,,,
09-04-04,12-04-04,Flash flood,"Nyando District, Budalangi District",,4,2000,,,,,,,,,,
,,,"Western Kenya-Busia,-Budalangi division of Siaya District, Ugenya and Alego-Usonga constituencies. Bunyala South villages neighbouring the Yala swamp",,,,,,,,,,,,,
26-08-03,12-09-03,Flood,,"Nzoia, Yala",1,2100,2470,,,,,,,,,
24-08-03,24-08-03,Flood,Kerio valley-Chepsigot ward,,,400,2920,,,,,,,,,
,,,,Kenya-Nyanza,,,,,,,,,,,,
,,,,"province-Nyando, Awach, Migori and Kuja. Rift valley province-Kositei, Cheptokwo, Nginyang, Iriri, Kimondi, Chesita, Murumi, Swam, Orwa. Western province-Nzoia, Ombeyi. Eastern province-Turkwel",,,,,,,,,,,,
,,,,", Kerio, Tinganga. Coast province- Tana, Sabaki. North eastern- Lak Dara and tributaries Eastern Uganda- Amaler and",,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,"Kenya-Nyanza province -Districts; Nyando, Migori, Kisumu, Budalangi,  Rift valley province-Districts: Nakuru, East Baringo, Kericho, Samburu, Koibatek, Nandi, West Pokot,  Western province-Busia, Trans- Nzoia, Bungoma, Kakamega, Siaya, Sifuno, Eastern province-Districts: Turkana, Machakos, Yatta, Coast province-Ndera, Malindi, Garissa. -Eastern Uganda-Mbale District;Namalu area, Bugiri District, Bulidha sub-county, Kampala area",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
21-04-03,04-06-03,Flood,,,77,1000000,291400,Uganda,,,,,,,,
,,,"Western Kenya-Kisumu, Manyatta, Dunga and Nyalenda Kisii",,,,,,,,,,,,,
04-01-03,06-01-03,Flood,Kisumu region,River Auji,,300,390,,,,,,,,,
00/04/2003,00/05/2003,Flood,"Nyando District, Kisumu District, Rachuonyo District",,40,60000,,,,,,,,,,
,,,"Marigat division in Baringo District, Ng'ambo, Ng'arua,Eldume, Sintaan",,,,,,,,,,,,,
21-12-02,23-12-02,Flood,Marigat division(Baringo District),Perkerra river,6,3000,750,,,,,,,,,
,,Flood,Central Kenya-Kiambu District-River Riara from Kiambu town,,,,,,,,,,,,,
17-11-02,20-11-02,,Kiambu District,Riara,12,2000,920,,,,,,,,,
,,Flash flood,,,,,,,,,,,,,,
,,,"Eastern Kenya-Madogo division of Tana River District, Tana River, Marere River in Kinango area of Kwale District",,,,,,,,,,,,,
,,,Madogo division (Tana River distrct),,,,,,,,,,,,,
29-10-02,04-11-02,Flood,,"Tana, Marere",14,20000,77900,,,,,,,,,
16-09-02,19-09-02,Flood,"Mombasa, Matuga, Kipevu. Districts: Kwale, Kilifi,",,,,63450,,,,,,,,,
,,,"Mombasa, Taita Taveta",,,,,,,,,,,,,
,,,Kenya- Budalangi area in Nyanza province. Central,,,,,,,,,,,,,
,,,"Meru and Muranga Districts near Mt. Kenya. Nairobi area. Western Districts of Kisumu and Busia. Rivers: Mara, Tana, Sabaki --Uganda-Counties: Manjiya, Bubukwanga Districts: Mbale, Bundibugyo, Sironko. Towns: Kampala area, Kyambogo, Rwebisengo, Rwangara and Bweramole. Semliki river -Rwanda- Western and Central areas -Tanzania-Mbeya region, Geita District in Mwanza region",,,,,,,,,,,,,
,,,"Migori District, Kisumu District, Nyando District",,,,,,,,,,,,,
,,,,"Kenya-Mara, Tana, Sabaki - Uganda-Semliki",160,168000,,"Uganda, Tanzania, Rwanda",,,,,,,,
26-04-02,28-05-02,Flood,,,,,1019000,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,53,150008,,,,,,,,,,
30-04-02,30-04-02,Landslide,"Meru District, Murang'a District",,16,,,,,,,,,,,
29-04-02,02-05-02,Flood,Nairobi area. Nairobi river,Nairobi,2,,3830,,,,,,,,,
,,,"Nairobi and sorrounding areas-Dagoretti, Kibera",,,,,,,,,,,,,
13-01-01,14-01-01,Flood,Nairobi province,,4,,4350,,0.038,,,,,,,
00/12/1999,00/00/2002,Drought,"Baringo District, Garissa District , Isiolo  District",,85,2300000,,,,,,,,,,
27-05-98,31-05-98,Flood,Nairobi,,19,800,106200,,,,,,,,,
,,,"Kenya-Voi, Nairobi-Mombasa Highway, Tsavo",,,,,,,,,,,,,
01-01-98,20-01-98,Flood,"National park, Garissa -Tanzania-Lakes Victoria and Tanganyika, North Zambia, Mwanga District, Kilimanjaro region","Tana, Mkondoa",86,346000,386400,,,,,,,,,
00/05/1998,00/05/1998,Flood,Lake Victoria,,40,200,,,,,,,,,,
30-11-97,03-12-97,Flood,Garissa,Tana,11,10000,8840,,,,,,,,,
15-10-97,23-10-97,Flood,Coastal areas-Mombasa,Bogolo,23,,34480,,,,,,,,,
00/09/1997,00/09/1997,Flood,"Kwale District, Kilifi District, Mombasa District",,86,900000,,,11.8,,,,,,,
00/01/1997,00/00/1998,Drought,"Garissa District, Isiolo District,Wajir District",,,1600000,,,,,,,,,,
,,,"Nyanza province: Kano, Lower Nyakach, Karachuonyo, Kisumu District (West Nyakach), Homabay District (East Karachuonyo)",,,,,,,,,,,,,
08-04-96,11-04-96,Flood,Nyanza province,,0,1000,12430,,,,,,,,,
00/03/1994,00/00/1995,Drought,North eastern regions,,,1200000,,,,,,,,,,
00/00/1991,00/00/1992,Drought,North eastern regions,,,2700000,,,,,,,,,,
14-04-90,15-04-90,Flood,,,44,,,,,,,,,,,
10-04-88,10-05-88,Flood,"Nairobi area, Districts-Kisumu, South Nyanza,",,60,10000,89600,,,,,,,,,
,,,"Laikipia, Nyando division in Western Kenya. Rivers: Tana Nyando",,,,,,,,,,,,,
00/00/1984,00/00/1982,Drought,,,,600000,,,,,,,,,,
00/10/1982,00/10/1982,Flash flood,Near Lake Victoria,,75,3000,,,,,,,,,,
00/00/1979,00/00/1980,Drought,Turkana District,,,40000,,,,,,,,,,
00/05/1977,00/05/1977,Flood,,,100,20000,,,10,,,,,,,
00/00/1975,00/00/1975,Flood,,,,16000,,,,,,,,,,
00/01/1971,00/00/1971,Drought,Country wide,,,150000,,,1.5,,,,,,,
00/05/1968,00/05/1968,Flood,"Nyanza province, Western province",,,,,,0.05,,,,,,,
00/07/1965,00/00/1965,Drought,,,,260000,,,,,,,,,,
00/05/1964,00/05/1964,Flood,"Nyanza province, Western regions",,,15000,,,,,,,,,,
